,Date,content,floor,id
0,2019-04-11T18:33:11.737Z,偶支持你重考,1,14
1,2019-04-11T18:35:09.008Z,校版發一次這裡又發一次 你是多想戰中山？,2,14
2,2019-04-11T18:36:19.318Z,沒人想跟你併的學店生下去,3,14
3,2019-04-11T18:38:11.465Z,廢文,4,14
4,2019-04-11T18:38:13.050Z,我還是不懂為何要併這兩間,5,14
5,2019-04-11T18:38:47.822Z,"整天只想無痛升級?
要是我考上高大我大概已經自殺了",6,14
6,2019-04-11T18:40:43.704Z,"我覺得應該是

國立高雄大學=國立高雄大學
國立中山大學=國立中山大學
這名字是最好的吧",7,14
7,2019-04-11T19:02:12.744Z,不要出來丟臉,8,14
8,2019-04-11T19:04:54.118Z,"重考

然後今天中午是理院併校公聽會
中山的大家記得去起來",9,14
9,2019-04-11T19:10:29.967Z,完蛋以後要變四大三中了,10,14
10,2019-04-11T19:50:33.253Z,下去,11,14
11,2019-04-11T20:19:38.601Z,"這麼可悲的學歷
不去唸書還在這邊刷存",12,14
12,2019-04-11T22:49:46.672Z,"引戰仔下去
改名？
你都不擔心期中考了
還在乎能不能畢業嗎？
還擔心畢業證書掛什麼名字嗎？",13,14
13,2019-04-11T23:14:57.393Z,店生嗨嗨,14,14
14,2019-04-12T01:09:34.931Z,人不要臉天下無敵,15,14
15,2019-04-12T01:33:56.658Z,雄中>中山>高大==,16,14
16,2019-04-12T02:06:32.222Z,幫中山QQ,17,14
17,2019-04-12T03:22:03.181Z,幫中山QQ 原本中山機乎等於中央 看到這個就知道中央遠大於中山呵呵 至少我們學校不會找沒聽過的大學併校,18,14
18,2019-04-12T03:25:01.811Z,"唯一支持高大糞店自己收攤
別殘害無辜大學",19,14
19,2019-04-12T03:51:15.649Z,"國立中山大學校本部
國立中山大學學店部",20,14
20,2019-04-12T03:53:01.200Z,"真的蠻好笑的欸
明明就是中山一直找別人併校
然後中山的學生怎麼不去噴高層
一直攻擊高大學生是有什麼屁用...",21,14
